Threshold,Estimator,n_treated,ATT,CI_lower,CI_upper,p_value
50,Caliper PSM,198,1.0123,-0.5633,2.6738,0.2512
50,IPW,198,2.5904,-0.2323,5.178,0.0683
50,AIPW (Doubly Robust),198,2.0924,-0.9656,5.0487,0.1466
67,Caliper PSM,135,-0.7,-2.4218,1.0293,0.4571
67,IPW,135,-0.1931,-2.2849,3.0376,0.8829
67,AIPW (Doubly Robust),135,-0.1921,-3.1018,4.686,0.9348
75,Caliper PSM,88,0.5522,-1.3959,2.747,0.5929
75,IPW,88,-0.1256,-1.988,2.0777,0.9044
75,AIPW (Doubly Robust),88,-0.1457,-2.3356,2.9168,0.9115
80,Caliper PSM,77,1.2273,-0.5909,3.0837,0.1896
80,IPW,77,0.1405,-1.5447,2.2161,0.8851
80,AIPW (Doubly Robust),77,0.0922,-1.5812,2.5377,0.9337
