FD,SCI,CO,PPI_SUM,BF_Ex,BF_Ag,BF_Co,BF_Em,BF_Op,CareerSat,PromSat,SalSat,AnnSalary,PromFreq,OwnOffice,CarAccess,Budget,Employee,ProfSat_composite,MatSucc_composite,ProfStd,Gender,MonthsInJob,Age,IM,Gender_male,ProfSat_z,MatSucc_z
43,28,5,95,8,10,8,9,12,3,5.0,3,2,8.0,1,1,3,1,13,16.0,6,1,,24,39.0,0,-0.8062147878419671,1.264446096324785
48,25,9,100,8,10,11,10,12,7,6.0,6,2,4.0,1,1,3,2,21,13.0,7,1,183.0,39,33.0,0,0.5831013725608732,0.5678078696703751
27,32,16,84,10,4,9,6,11,7,8.0,3,2,2.0,1,1,1,2,20,9.0,5,1,18.0,32,40.0,0,0.40943685251051815,-0.36104309920217137
29,31,8,79,8,9,9,6,9,7,5.0,6,2,3.0,1,2,7,1,20,16.0,11,1,,24,30.0,0,0.40943685251051815,1.264446096324785
39,27,9,87,9,9,12,8,11,5,4.0,3,2,2.0,3,1,1,2,14,11.0,7,1,38.0,24,35.0,0,-0.632550267791612,0.10338238523410187
33,30,14,81,10,10,10,9,9,5,3.0,3,2,6.0,4,1,5,2,13,20.0,12,1,214.0,36,31.0,0,-0.8062147878419671,2.1932970651973314
26,31,12,76,6,4,8,4,9,9,9.0,7,3,4.0,1,1,2,2,28,13.0,6,1,180.0,39,20.0,0,1.7987530129133584,0.5678078696703751
35,31,6,81,9,11,12,8,8,7,6.0,6,2,3.0,1,1,3,3,21,13.0,8,1,155.0,43,46.0,0,0.5831013725608732,0.5678078696703751
34,31,10,88,6,10,10,7,9,2,3.0,5,1,1.0,1,1,1,1,11,6.0,4,1,6.0,45,38.0,0,-1.1535438279426773,-1.0576813258565811
33,32,15,86,6,6,12,7,7,6,5.0,8,2,1.0,1,1,1,1,21,7.0,4,1,22.0,24,27.0,0,0.5831013725608732,-0.8254685836384446
37,28,9,86,11,11,9,11,11,7,7.0,7,2,2.0,1,1,2,2,23,10.0,6,1,24.0,29,35.0,0,0.9304304126615832,-0.12883035698403475
26,35,7,81,11,9,6,5,10,2,2.0,2,2,1.0,1,1,1,1,8,7.0,4,1,16.0,27,24.0,0,-1.6745373880937424,-0.8254685836384446
39,28,13,86,7,11,12,11,11,7,7.0,6,2,2.0,1,1,2,2,22,10.0,6,1,46.0,34,35.0,0,0.7567658926112282,-0.12883035698403475
39,34,12,93,8,8,11,9,9,6,6.0,5,2,5.0,2,1,2,2,19,14.0,7,1,144.0,42,49.0,0,0.2357723324601631,0.8000206118885117
28,32,10,74,7,9,11,9,10,6,5.0,5,2,8.0,1,1,1,1,18,14.0,4,1,44.0,27,23.0,0,0.06210781240980806,0.8000206118885117
38,25,13,90,10,9,7,9,10,4,1.0,4,2,1.0,1,1,1,1,11,7.0,4,1,63.0,50,31.0,0,-1.1535438279426773,-0.8254685836384446
27,27,10,72,11,11,11,7,8,6,8.0,8,2,2.0,6,1,1,2,24,14.0,10,1,38.0,31,26.0,0,1.1040949327119383,0.8000206118885117
41,20,12,81,13,12,13,13,12,7,7.0,5,3,7.0,3,1,2,3,22,19.0,9,1,242.0,42,39.0,0,0.7567658926112282,1.9610843229791948
