,PC1_FD,PC2_SCI
ppi_r_40_01,0.344,0.478
ppi_r_40_02r,0.567,-0.377
ppi_r_40_03,0.466,0.219
ppi_r_40_04,-0.121,0.552
ppi_r_40_05,-0.155,0.487
ppi_r_40_06r,0.332,-0.227
ppi_r_40_07r,0.127,0.006
ppi_r_40_08,0.496,-0.283
ppi_r_40_09,0.522,0.258
ppi_r_40_10,0.478,0.03
ppi_r_40_11,0.414,0.382
ppi_r_40_12,0.032,0.454
ppi_r_40_13,0.521,-0.187
ppi_r_40_14r,0.446,0.047
ppi_r_40_15,0.096,0.338
ppi_r_40_16,0.031,0.534
ppi_r_40_17r,0.195,0.141
ppi_r_40_18r,0.501,-0.36
ppi_r_40_19,0.126,0.28
ppi_r_40_20,0.375,0.448
ppi_r_40_21,-0.219,0.56
ppi_r_40_22r,0.419,-0.069
ppi_r_40_23r,-0.119,-0.012
ppi_r_40_24r,0.288,0.078
ppi_r_40_25r,-0.17,0.198
ppi_r_40_26r,0.212,0.111
ppi_r_40_27r,0.473,-0.128
ppi_r_40_28,0.434,0.109
ppi_r_40_29r,0.571,-0.405
ppi_r_40_30r,0.127,0.043
ppi_r_40_31,-0.098,0.576
ppi_r_40_32r,0.231,0.107
ppi_r_40_33,-0.113,0.471
ppi_r_40_34,0.548,0.223
ppi_r_40_35,0.644,-0.193
ppi_r_40_36r,0.014,0.174
ppi_r_40_37,0.65,0.279
ppi_r_40_38,0.508,0.162
ppi_r_40_39r,-0.06,0.046
ppi_r_40_40,0.382,0.417
