,PC1,PC2,PC3
ppi_r_40_01,0.344,0.478,-0.008
ppi_r_40_02r,0.567,-0.377,-0.063
ppi_r_40_03,0.466,0.219,-0.091
ppi_r_40_04,-0.121,0.552,-0.185
ppi_r_40_05,-0.155,0.487,-0.187
ppi_r_40_06r,0.332,-0.227,-0.189
ppi_r_40_07r,0.127,0.006,0.655
ppi_r_40_08,0.496,-0.283,-0.081
ppi_r_40_09,0.522,0.258,0.068
ppi_r_40_10,0.478,0.03,-0.385
ppi_r_40_11,0.414,0.382,0.083
ppi_r_40_12,0.032,0.454,-0.085
ppi_r_40_13,0.521,-0.187,-0.091
ppi_r_40_14r,0.446,0.047,-0.036
ppi_r_40_15,0.096,0.338,-0.148
ppi_r_40_16,0.031,0.534,0.208
ppi_r_40_17r,0.195,0.141,0.599
ppi_r_40_18r,0.501,-0.36,0.148
ppi_r_40_19,0.126,0.28,-0.025
ppi_r_40_20,0.375,0.448,0.11
ppi_r_40_21,-0.219,0.56,-0.208
ppi_r_40_22r,0.419,-0.069,-0.169
ppi_r_40_23r,-0.119,-0.012,0.29
ppi_r_40_24r,0.288,0.078,0.617
ppi_r_40_25r,-0.17,0.198,0.473
ppi_r_40_26r,0.212,0.111,0.535
ppi_r_40_27r,0.473,-0.128,-0.056
ppi_r_40_28,0.434,0.109,-0.15
ppi_r_40_29r,0.571,-0.405,0.184
ppi_r_40_30r,0.127,0.043,0.428
ppi_r_40_31,-0.098,0.576,-0.225
ppi_r_40_32r,0.231,0.107,0.36
ppi_r_40_33,-0.113,0.471,0.067
ppi_r_40_34,0.548,0.223,-0.078
ppi_r_40_35,0.644,-0.193,-0.114
ppi_r_40_36r,0.014,0.174,0.105
ppi_r_40_37,0.65,0.279,-0.182
ppi_r_40_38,0.508,0.162,-0.126
ppi_r_40_39r,-0.06,0.046,0.603
ppi_r_40_40,0.382,0.417,0.067
