,F1,F2,F3
ppi_r_40_01,0.512,-0.206,0.099
ppi_r_40_02r,0.217,0.584,-0.066
ppi_r_40_03,0.47,0.046,0.002
ppi_r_40_04,0.253,-0.499,-0.074
ppi_r_40_05,0.19,-0.458,-0.091
ppi_r_40_06r,0.15,0.309,-0.159
ppi_r_40_07r,-0.05,0.112,0.602
ppi_r_40_08,0.217,0.454,-0.068
ppi_r_40_09,0.502,0.059,0.15
ppi_r_40_10,0.443,0.178,-0.282
ppi_r_40_11,0.487,-0.089,0.166
ppi_r_40_12,0.279,-0.33,0.008
ppi_r_40_13,0.289,0.388,-0.058
ppi_r_40_14r,0.347,0.171,0.014
ppi_r_40_15,0.269,-0.212,-0.059
ppi_r_40_16,0.267,-0.378,0.272
ppi_r_40_17r,0.088,0.034,0.58
ppi_r_40_18r,0.131,0.543,0.117
ppi_r_40_19,0.232,-0.144,0.038
ppi_r_40_20,0.493,-0.158,0.2
ppi_r_40_21,0.198,-0.564,-0.107
ppi_r_40_22r,0.291,0.235,-0.114
ppi_r_40_23r,-0.142,-0.026,0.204
ppi_r_40_24r,0.117,0.131,0.597
ppi_r_40_25r,-0.11,-0.195,0.4
ppi_r_40_26r,0.098,0.057,0.498
ppi_r_40_27r,0.276,0.316,-0.023
ppi_r_40_28,0.396,0.109,-0.073
ppi_r_40_29r,0.15,0.638,0.156
ppi_r_40_30r,0.026,0.059,0.353
ppi_r_40_31,0.294,-0.514,-0.105
ppi_r_40_32r,0.146,0.054,0.314
ppi_r_40_33,0.155,-0.402,0.124
ppi_r_40_34,0.537,0.084,0.015
ppi_r_40_35,0.391,0.469,-0.073
ppi_r_40_36r,0.079,-0.112,0.096
ppi_r_40_37,0.694,0.08,-0.06
ppi_r_40_38,0.478,0.108,-0.039
ppi_r_40_39r,-0.147,-0.017,0.524
ppi_r_40_40,0.486,-0.132,0.158
