,FD,SCI,CO,PPI Total,Extraversion,Agreeableness,Conscientiousness,Emot. Stability,Openness,Prof. Satisfaction,Material Success
FD,1.0,-0.053,0.065,0.741,0.485,0.075,0.13,0.655,0.394,0.129,0.154
SCI,-0.053,1.0,0.163,0.519,0.047,-0.309,-0.385,-0.252,-0.014,-0.139,-0.012
CO,0.065,0.163,1.0,0.39,-0.119,-0.413,-0.019,0.135,-0.107,-0.046,-0.004
PPI Total,0.741,0.519,0.39,1.0,0.368,-0.216,-0.166,0.39,0.316,-0.026,0.094
Extraversion,0.485,0.047,-0.119,0.368,1.0,0.033,-0.003,0.255,0.342,0.14,0.207
Agreeableness,0.075,-0.309,-0.413,-0.216,0.033,1.0,0.1,0.166,0.091,0.035,0.03
Conscientiousness,0.13,-0.385,-0.019,-0.166,-0.003,0.1,1.0,0.253,-0.014,0.101,0.046
Emot. Stability,0.655,-0.252,0.135,0.39,0.255,0.166,0.253,1.0,0.177,0.09,0.154
Openness,0.394,-0.014,-0.107,0.316,0.342,0.091,-0.014,0.177,1.0,0.012,0.02
Prof. Satisfaction,0.129,-0.139,-0.046,-0.026,0.14,0.035,0.101,0.09,0.012,1.0,0.395
Material Success,0.154,-0.012,-0.004,0.094,0.207,0.03,0.046,0.154,0.02,0.395,1.0
