FD,SCI,CO,PPI_SUM,BF_Ex,BF_Ag,BF_Co,BF_Em,BF_Op,Gender_male,MonthsInJob,Age
0.5630246,-0.09748569,-0.12016128,0.5012454,-0.1812799,0.10188291,0.117224306,-0.29297912,-0.04722948,-0.16859865,0.9885181,1.165774
-0.7495781,0.11631347,0.06742411,0.08341316,0.5905129,0.5431148,-0.04118978,-0.82127774,-0.30158037,-0.27804306,-0.23302269,0.7595854
-0.19149595,0.07141881,0.0358341,0.27125677,0.615225,-0.061873954,0.06700818,0.060428645,-0.25186712,-0.17305808,0.025011392,-1.1256123
0.026949331,-0.030006317,-0.024433404,0.36007875,1.4698797,0.21806167,0.1600768,0.10076959,0.035578042,-0.20426883,1.8127333,1.470702
-0.7521566,0.0032301107,0.26099926,-0.14221467,-0.3653064,1.3094273,0.3263496,0.39489156,0.14502184,-0.3020241,1.4187069,0.940361
0.026824776,0.059481174,0.30421695,0.26170343,0.6686766,0.27016145,-0.43747324,0.045751512,0.12351551,-0.26717892,0.7201881,1.159179
-0.064620264,0.015542206,0.1388377,0.13079529,-0.65699494,-0.1096523,-0.05992296,0.12449599,0.14339095,-0.25567073,-0.29929066,0.22941485
-0.1010251,0.17640184,-0.36324114,0.16632977,-0.41217545,0.21684426,-0.3132742,0.08438103,-0.0951921,-0.20973371,-0.053833675,-1.1194886
-0.20046407,0.14072691,-0.12511705,0.21783325,0.60929966,0.1823985,-0.15866308,-0.17887577,-0.35337183,-0.14742245,-0.15573248,-0.6186032
-0.6358608,-0.044729307,0.14413473,0.28303894,0.47887847,-0.07366817,-0.19933894,-0.64941347,0.1311309,-0.34760478,-0.21563262,-0.5412815
-0.08590883,0.07869494,-0.53305775,0.12231727,-0.5906755,0.12907393,-0.09463857,-0.19306433,-0.12269937,-0.22598174,0.01569054,1.0281646
0.04745214,-0.055739462,0.1839547,-0.6833142,-0.22934069,-0.09817985,0.14718424,0.048262574,0.100798465,-0.24086355,0.97065955,1.4214798
-0.46489844,0.24001965,0.21683529,0.31979173,-0.38440993,-0.09042511,0.14581665,0.11985575,0.09372592,-0.20115063,0.3268489,-0.3702313
-0.18324718,-0.1395908,-0.29751274,-0.11699986,1.2107527,-0.09990913,0.13734487,0.01383326,0.0032909026,-0.28337836,-0.40655163,0.45384017
-0.5118403,0.14735757,0.2952983,-0.11143521,1.0942664,0.2069327,0.15527946,0.10807651,0.21848285,-0.1755552,0.066117816,-0.45352712
0.2748063,0.09136717,0.31358597,0.40490845,1.941565,0.07757141,0.0405847,1.0835838,-0.0073531144,-0.073559895,1.5466921,2.1142688
