FD,SCI,CO,PPI_SUM,BF_Ex,BF_Ag,BF_Co,BF_Em,BF_Op,Gender_male,MonthsInJob,Age
1.4528971,0.45868143,-0.16758223,0.090987705,-0.1624625,-0.22153687,0.12706399,-0.08052871,-1.564994,-0.12270655,1.0376735,1.3134257
-0.94487476,0.32643828,0.871356,0.4275514,0.1308707,0.84740996,-0.29542142,-0.14051245,0.33491695,-0.09187278,0.156701,-0.30396506
0.32786205,0.67926455,-0.2340744,0.63612366,0.57426065,-0.3042483,0.8245526,0.0042683827,0.23785745,-0.008034724,-0.3415109,-0.8823741
-0.36977577,-0.40594122,0.2944181,0.4916125,0.18610726,-0.37943003,-0.5371384,0.014551239,0.31285816,-0.142265,-1.358839,1.3196764
-1.0970892,0.019136641,0.29040316,1.0362242,-0.10690515,1.019888,-0.17454806,0.36569726,0.21888307,-0.11005561,0.7397608,1.5514113
-0.21242061,0.059645753,-0.099083126,0.76787204,0.48546314,0.3333451,0.8706497,0.15506814,0.18570225,-0.040510774,-0.3664638,1.5284103
-0.23214495,-0.13180172,-0.3259378,0.47510892,-0.30537885,-0.41429928,-0.48278183,-0.06326122,0.29369488,-0.11070055,-0.68045574,1.0166813
-0.18661293,0.14832117,0.6232763,0.5593475,-0.15489496,0.7086162,0.26959494,-0.012254562,0.43400458,-0.032890867,0.09292877,-0.34121293
0.55297613,0.799657,-0.2782208,0.66500956,1.2753596,0.6069036,-0.6044206,0.13949491,0.25553763,-0.078169614,0.099801615,-0.39863458
-1.4051393,-1.5213479,0.52179927,0.32800883,-0.27513835,-0.35343283,-0.24460155,-0.58331496,0.05247956,-0.07993229,-0.06276551,-1.275097
0.39954984,0.7415006,-0.026490016,0.6265358,-0.20226444,0.46677896,0.9232225,0.10299497,0.25302243,-0.013730066,-0.052538138,1.2965859
0.5094064,-0.14292029,0.15915859,-1.3562819,-0.10302637,0.047444172,0.10571241,0.01727246,0.27712575,-0.056016304,-0.39872703,1.194956
-1.1907667,0.00399048,-0.3067554,0.9636358,-0.15311047,-0.31148726,0.15417923,0.029169718,0.20810153,-0.033740044,-0.34843653,-1.061565
0.5398782,0.30478683,-0.2157309,0.088639304,0.15266997,-0.32412407,-0.74418765,-0.0015762842,0.26511985,-0.1691696,0.15886354,-1.1439344
-1.02651,1.0674325,-0.3660702,1.4180871,1.5619984,0.59214675,0.33549854,-0.023658577,0.34864745,-0.041670356,0.0006353085,-0.46103948
0.540406,0.5812837,0.21260965,0.53273606,1.8639637,0.45174286,0.6946605,0.151171,-0.6509111,-0.027644437,-0.29659384,1.3486046
0.5177317,0.025597718,-0.19416548,0.6981189,-0.9509125,-0.03794288,0.07370219,-0.024636354,0.38249055,-0.046749137,-0.16025104,1.1204025
0.45496258,0.8117927,-0.27774015,0.7495107,1.1980301,0.5326048,0.2818462,-0.13867745,0.23957945,-0.07997207,0.07284536,1.1480819
0.37023276,0.3655662,-0.23649871,0.5626158,0.24394248,-1.3336991,-0.64658594,-0.43520668,0.15063451,-0.12829,-0.0017205935,1.1473763
-0.23557001,0.44909996,-0.28678218,0.83064765,-0.19508062,-0.46863276,0.19184712,-0.148243,0.24597608,-0.03197737,-0.17988424,-0.6108962
0.40855223,0.5598075,-0.09832649,-0.8445901,1.1461834,-0.39360154,0.3130652,0.14640819,0.28622612,-0.09219502,-0.7582754,-0.9840515
0.30728036,0.0801645,-0.4862143,0.31390622,0.08624598,-1.9004192,0.09069138,-0.15396082,-2.287184,-0.1276146,-0.33905494,0.8230217
-0.9044658,-0.31389305,0.8040796,-0.11717044,0.530655,0.35337144,-0.9209965,0.030699585,-0.3039355,-0.15205932,-0.2750516,-1.6547294
0.4941489,0.7348769,0.2496229,0.5457732,1.0778733,-0.24969116,0.35667357,-0.08241691,0.31115007,-0.053877953,-0.11339068,-0.8214632
-3.2085707,-0.4214904,-0.48202628,-0.15447208,-0.16085601,0.8834369,0.085638575,-0.2035992,0.15171376,-0.14605592,-1.2989523,-1.6674298
-0.16970116,-1.0028067,0.7224262,-0.26788858,0.7158682,-0.18902658,0.19280672,-0.18679348,0.35107377,-0.21779379,-0.23784372,-1.1647942
0.5894786,0.5252523,-0.47511435,0.8108872,1.1483514,0.66781026,-0.4156008,-0.20623167,-0.9304634,-0.08196227,-0.17873433,-0.3446703
0.64651877,0.44867387,0.17386168,0.66347086,-0.097487435,-0.3714566,-0.5259021,-0.047989257,0.4111247,-0.075888686,-0.012555811,-0.686839
0.005126033,-0.3092182,0.71168214,-1.4677525,-0.7197188,0.927974,0.16265923,0.040009987,0.24443899,-0.04583122,-0.05596945,-0.68419856
-0.057971865,-0.36785033,-0.19701259,0.6411286,-0.14654288,-0.40044713,0.19699952,-0.34985694,0.28083733,-0.028404204,0.12850133,-0.45534974
0.37515745,-0.0048919045,-0.33898595,-1.4301013,1.1528145,-0.14775752,-0.6432203,0.0037506013,0.29965892,-0.12045409,-0.27012834,1.3219368
-0.3071586,0.8860999,-0.025991974,0.5587555,-0.5857054,-0.15478782,0.83546853,-0.03149638,0.32175592,-0.017750109,0.7978692,1.3106228
